year_id,location_name,rei_id,rei_name,age_group_name,sex,parameter,mean,upper,lower,unit
2017,North Korea,118,Diet high in sugar-sweetened beverages,All Available Ages,Female,continuous,40.86689246,44.94568452,37.31523044,g/day
2017,North Korea,119,Diet low in fiber,All Available Ages,Male,continuous,10.98431367,11.49012948,10.46628601,g/day
2017,North Korea,119,Diet low in fiber,All Available Ages,Female,continuous,9.374356045,9.814237071,8.968677895,g/day
2017,North Korea,121,Diet low in seafood omega-3 fatty acids,All Available Ages,Male,continuous,0.009642449,0.009967613,0.009330334,g/day
2017,North Korea,121,Diet low in seafood omega-3 fatty acids,All Available Ages,Female,continuous,0.008236578,0.008507767,0.007994726,g/day
2017,North Korea,122,Diet low in polyunsaturated fatty acids,All Available Ages,Male,continuous,0.071982004,0.074970373,0.069269076,%energy/day
2017,North Korea,122,Diet low in polyunsaturated fatty acids,All Available Ages,Female,continuous,0.070219245,0.072798242,0.067803458,%energy/day
2017,North Korea,123,Diet high in trans fatty acids,All Available Ages,Male,continuous,0.002582702,0.002700464,0.002456364,%energy/day
2017,North Korea,123,Diet high in trans fatty acids,All Available Ages,Female,continuous,0.003155562,0.003305916,0.003012695,%energy/day
2017,North Korea,124,Diet high in sodium,All Available Ages,Male,continuous,4.044787475,4.437022502,3.66592249,g/day
2017,North Korea,124,Diet high in sodium,All Available Ages,Female,continuous,4.961514698,5.3666632,4.585813547,g/day
2017,North Korea,147,Diet low in calcium,All Available Ages,Male,continuous,0.206910075,0.212510895,0.2016826,g/day
2017,North Korea,147,Diet low in calcium,All Available Ages,Female,continuous,0.18461186,0.189480986,0.179956057,g/day
2017,North Korea,333,Diet low in legumes,All Available Ages,Male,continuous,71.90016819,75.41351476,68.46085291,g/day
2017,North Korea,333,Diet low in legumes,All Available Ages,Female,continuous,60.88555113,63.9383577,58.11622004,g/day
2017,Taiwan,111,Diet low in fruits,All Available Ages,Male,continuous,144.9209807,154.1313197,136.0101386,g/day
2017,Taiwan,111,Diet low in fruits,All Available Ages,Female,continuous,165.8963217,176.3787521,156.306402,g/day
2017,Taiwan,112,Diet low in vegetables,All Available Ages,Male,continuous,264.7064599,282.5786707,247.8738493,g/day
2017,Taiwan,112,Diet low in vegetables,All Available Ages,Female,continuous,250.7836312,266.9890248,234.9158747,g/day
2017,Taiwan,113,Diet low in whole grains,All Available Ages,Male,continuous,24.50894629,25.93107384,23.07481212,g/day
2017,Taiwan,113,Diet low in whole grains,All Available Ages,Female,continuous,22.94016772,24.29656418,21.65850539,g/day
2017,Taiwan,114,Diet low in nuts and seeds,All Available Ages,Male,continuous,8.735794542,10.07182784,7.488845333,g/day
2017,Taiwan,114,Diet low in nuts and seeds,All Available Ages,Female,continuous,8.321011467,9.714216601,7.140124248,g/day
2017,Taiwan,115,Diet low in milk,All Available Ages,Male,continuous,40.83233453,43.70186882,38.43086711,g/day
2017,Taiwan,115,Diet low in milk,All Available Ages,Female,continuous,39.81001617,42.47625438,37.32980806,g/day
2017,Taiwan,116,Diet high in red meat,All Available Ages,Male,continuous,59.41188112,63.9891038,55.31328868,g/day
2017,Taiwan,116,Diet high in red meat,All Available Ages,Female,continuous,36.56687419,39.6776559,33.57664333,g/day
2017,Taiwan,117,Diet high in processed meat,All Available Ages,Male,continuous,2.385856891,2.783032894,2.05721234,g/day
2017,Taiwan,117,Diet high in processed meat,All Available Ages,Female,continuous,1.818707233,2.108741106,1.570580277,g/day
2017,Taiwan,118,Diet high in sugar-sweetened beverages,All Available Ages,Male,continuous,77.9744751,86.66122597,70.97519276,g/day
2017,Taiwan,118,Diet high in sugar-sweetened beverages,All Available Ages,Female,continuous,57.09860454,62.69966582,51.89846558,g/day
2017,Taiwan,119,Diet low in fiber,All Available Ages,Male,continuous,10.73197769,11.26713555,10.24918175,g/day
2017,Taiwan,119,Diet low in fiber,All Available Ages,Female,continuous,9.113638132,9.566997886,8.682779969,g/day
2017,Taiwan,121,Diet low in seafood omega-3 fatty acids,All Available Ages,Male,continuous,0.080100669,0.082238249,0.077999234,g/day
2017,Taiwan,121,Diet low in seafood omega-3 fatty acids,All Available Ages,Female,continuous,0.068361098,0.070288348,0.066562529,g/day
2017,Taiwan,122,Diet low in polyunsaturated fatty acids,All Available Ages,Male,continuous,0.156649547,0.161879921,0.151741582,%energy/day
2017,Taiwan,122,Diet low in polyunsaturated fatty acids,All Available Ages,Female,continuous,0.15245127,0.157086181,0.14790949,%energy/day
2017,Taiwan,123,Diet high in trans fatty acids,All Available Ages,Male,continuous,0.002598128,0.002722352,0.00248531,%energy/day
2017,Taiwan,123,Diet high in trans fatty acids,All Available Ages,Female,continuous,0.003159128,0.003307275,0.003011532,%energy/day
2017,Taiwan,124,Diet high in sodium,All Available Ages,Male,continuous,3.475498404,3.771644217,3.174647675,g/day
2017,Taiwan,124,Diet high in sodium,All Available Ages,Female,continuous,3.810764198,4.087814373,3.535105612,g/day
2017,Taiwan,147,Diet low in calcium,All Available Ages,Male,continuous,0.514264291,0.52956506,0.498770792,g/day
2017,Taiwan,147,Diet low in calcium,All Available Ages,Female,continuous,0.46101764,0.475577741,0.447526755,g/day
2017,Taiwan,333,Diet low in legumes,All Available Ages,Male,continuous,79.34213907,85.49699749,73.41534126,g/day
2017,Taiwan,333,Diet low in legumes,All Available Ages,Female,continuous,65.80133917,70.89718171,61.14010295,g/day
2017,Cambodia,111,Diet low in fruits,All Available Ages,Male,continuous,35.29859111,38.54557581,32.50990801,g/day
2017,Cambodia,111,Diet low in fruits,All Available Ages,Female,continuous,40.59449269,43.83230165,37.49379197,g/day
2017,Cambodia,112,Diet low in vegetables,All Available Ages,Male,continuous,77.88289405,85.58101581,70.98797086,g/day
