year_id,location_name,rei_id,food,age_group_name,sex,parameter,mean,upper,lower,unit,direction,lower_optimal,optimal,upper_optimal,unit_optimal,Relative_Percent,range_percent,percent_over_under,opt_achieved
2017,Benin,147,calcium,All available ages,Female,continuous,0.236680323508891,0.24467391731036,0.229029702614889,g/day,low,1,1.25,1.5,g,18.93442588071128,23.6680323508891,-76.3319676491109,No
2017,Burkina Faso,147,calcium,All available ages,Male,continuous,0.273231669796155,0.281686270266476,0.265289518815924,g/day,low,1,1.25,1.5,g,21.8585335836924,27.3231669796155,-72.6768330203845,No
2017,Burkina Faso,147,calcium,All available ages,Female,continuous,0.243905644152235,0.251974825215403,0.236591720977252,g/day,low,1,1.25,1.5,g,19.5124515321788,24.3905644152235,-75.60943558477649,No
2017,Cameroon,147,calcium,All available ages,Male,continuous,0.298131305811743,0.308095713015151,0.288642003317777,g/day,low,1,1.25,1.5,g,23.850504464939444,29.813130581174303,-70.18686941882571,No
2017,Cameroon,147,calcium,All available ages,Female,continuous,0.264780911494391,0.273496542384219,0.255600993007647,g/day,low,1,1.25,1.5,g,21.18247291955128,26.4780911494391,-73.5219088505609,No
2017,Cape Verde,147,calcium,All available ages,Male,continuous,0.555129030096203,0.571262164476642,0.538020781030522,g/day,low,1,1.25,1.5,g,44.410322407696235,55.512903009620295,-44.487096990379705,No
2017,Cape Verde,147,calcium,All available ages,Female,continuous,0.494100633206324,0.508437231433681,0.48097760347969,g/day,low,1,1.25,1.5,g,39.52805065650592,49.4100633206324,-50.5899366793676,No
2017,Chad,147,calcium,All available ages,Male,continuous,0.26043555724337,0.2678568085088,0.253011137566975,g/day,low,1,1.25,1.5,g,20.834844579469596,26.043555724336997,-73.956444275663,No
2017,Chad,147,calcium,All available ages,Female,continuous,0.23378481984238,0.24225994843713,0.225596571261734,g/day,low,1,1.25,1.5,g,18.702785587390398,23.378481984238,-76.621518015762,No
2017,Cote d'Ivoire,147,calcium,All available ages,Male,continuous,0.255656065580478,0.26303910364186,0.248229761082339,g/day,low,1,1.25,1.5,g,20.45248524643824,25.565606558047797,-74.4343934419522,No
2017,Cote d'Ivoire,147,calcium,All available ages,Female,continuous,0.227864355569595,0.234843496812106,0.22105918170194,g/day,low,1,1.25,1.5,g,18.2291484455676,22.7864355569595,-77.21356444304051,No
2017,The Gambia,147,calcium,All available ages,Male,continuous,0.259527546794825,0.268994184077016,0.24920288213675101,g/day,low,1,1.25,1.5,g,20.762203743586,25.9527546794825,-74.04724532051749,No
2017,The Gambia,147,calcium,All available ages,Female,continuous,0.229529945495256,0.238407309172914,0.220568010252369,g/day,low,1,1.25,1.5,g,18.36239563962048,22.9529945495256,-77.0470054504744,No
2017,Ghana,147,calcium,All available ages,Male,continuous,0.353930778716681,0.366005479853724,0.34393178287849,g/day,low,1,1.25,1.5,g,28.31446229733448,35.3930778716681,-64.6069221283319,No
2017,Ghana,147,calcium,All available ages,Female,continuous,0.3161877775461,0.32679647734768,0.306283597906355,g/day,low,1,1.25,1.5,g,25.295022203688,31.61877775461,-68.38122224539,No
2017,Guinea,147,calcium,All available ages,Male,continuous,0.231591709110438,0.237984744860494,0.225590842805082,g/day,low,1,1.25,1.5,g,18.52733672883504,23.159170911043798,-76.8408290889562,No
2017,Guinea,147,calcium,All available ages,Female,continuous,0.20601938948355,0.212526787626943,0.199773497715585,g/day,low,1,1.25,1.5,g,16.481551158684,20.601938948355,-79.398061051645,No
2017,Guinea-Bissau,147,calcium,All available ages,Male,continuous,0.16839958779439,0.174056485853284,0.162898789445169,g/day,low,1,1.25,1.5,g,13.471967023551198,16.839958779438998,-83.160041220561,No
2017,Guinea-Bissau,147,calcium,All available ages,Female,continuous,0.1498300844972,0.155460817575924,0.144680834964946,g/day,low,1,1.25,1.5,g,11.986406759776,14.98300844972,-85.01699155028,No
2017,Liberia,147,calcium,All available ages,Male,continuous,0.143259504215247,0.148383445960789,0.137974200069361,g/day,low,1,1.25,1.5,g,11.46076033721976,14.3259504215247,-85.67404957847529,No
2017,Liberia,147,calcium,All available ages,Female,continuous,0.128480520104256,0.13396843663533,0.123200014485315,g/day,low,1,1.25,1.5,g,10.27844160834048,12.8480520104256,-87.1519479895744,No
2017,Mali,147,calcium,All available ages,Male,continuous,0.478264250746382,0.494824646732879,0.462496337690205,g/day,low,1,1.25,1.5,g,38.26114005971056,47.8264250746382,-52.1735749253618,No
2017,Mali,147,calcium,All available ages,Female,continuous,0.423342659935034,0.439330491495877,0.408053632102105,g/day,low,1,1.25,1.5,g,33.86741279480272,42.3342659935034,-57.66573400649659,No
2017,Mauritania,147,calcium,All available ages,Male,continuous,0.60467951163562506,0.622796615012838,0.587798950095459,g/day,low,1,1.25,1.5,g,48.37436093085,60.4679511635625,-39.5320488364375,No
2017,Mauritania,147,calcium,All available ages,Female,continuous,0.538690524891237,0.555000011871087,0.522558649308117,g/day,low,1,1.25,1.5,g,43.09524199129896,53.8690524891237,-46.1309475108763,No
2017,Niger,147,calcium,All available ages,Male,continuous,0.41923756083592,0.433968891161476,0.404935019658381,g/day,low,1,1.25,1.5,g,33.5390048668736,41.923756083592004,-58.076243916407996,No
2017,Niger,147,calcium,All available ages,Female,continuous,0.373608473374468,0.387429521098691,0.359963319312483,g/day,low,1,1.25,1.5,g,29.88867786995744,37.3608473374468,-62.6391526625532,No
2017,Nigeria,147,calcium,All available ages,Male,continuous,0.275696832478107,0.284939753289729,0.266490761434948,g/day,low,1,1.25,1.5,g,22.05574659824856,27.5696832478107,-72.4303167521893,No
2017,Nigeria,147,calcium,All available ages,Female,continuous,0.247077782998579,0.255548084088265,0.238453800516474,g/day,low,1,1.25,1.5,g,19.76622263988632,24.7077782998579,-75.29222170014211,No
2017,Sao Tome and Principe,147,calcium,All available ages,Male,continuous,0.30212330235621,0.320437845941319,0.285114125410663,g/day,low,1,1.25,1.5,g,24.1698641884968,30.212330235621,-69.787669764379,No
